0	0	0	0	18024	71364	126732	174283	213679	245982	273181	299027	322183	344664	367127	391511	418835	448867	479675	514779	551711	589761	628050	661458	690698	711331	715087	707818	680815	633480	569075	489905	406713	326631	254929	194802	146125	109272	81324	59981	43969	31885	22733	16149	11205	8124	6070	4880	3801	24959
0	0	0	0	30811	126616	229595	313397	370453	406894	431195	446035	460246	474475	485469	501926	520370	542758	562671	587253	614553	639878	668575	695454	719028	737499	748826	740888	713732	666393	599353	516547	429270	345524	272633	212581	163766	127999	100856	80245	62642	48316	36014	26668	19325	13532	10097	8087	6411	44412
0	0	0	0	35250	146422	272868	384505	463821	511399	535052	548075	551491	558002	564134	573836	583932	593488	607789	625552	641325	659218	680235	699888	715096	724252	728980	721270	693530	647533	586464	514993	442587	368950	299585	237654	184972	142734	108608	83469	64703	50363	38971	29870	23194	17773	13581	10682	8468	45531
0	0	0	0	37522	159058	302545	429373	521093	575477	604229	617722	626420	634464	645481	651003	657027	663509	669562	678679	689935	697278	702089	704521	702359	691084	672331	641699	602856	555882	505325	451806	395504	340382	285567	234325	185062	143480	107846	79705	58503	42822	31410	22983	16886	12371	9378	7277	5808	34264
0	0	0	0	43262	185752	355011	498142	595361	651756	685061	701504	716612	728545	743901	760898	772026	785023	796581	800641	805045	800879	790108	769494	732860	680598	622473	554127	486166	415206	350614	292198	238537	190673	149228	113652	85676	63890	47378	33991	24599	17865	12865	9499	7388	5900	4993	4117	3862	19194
0	0	0	0	52449	226409	434151	604824	714233	781463	815770	837390	854664	874319	895592	912799	922156	927099	929833	926875	909884	874092	819807	748062	658946	559203	451489	353267	266961	196687	141935	100336	70371	49139	34076	23520	16377	11420	8180	5955	4521	3666	2958	2543	2130	1829	1612	1397	1232	4466
0	0	0	0	68190	292488	549627	749655	867238	929462	961965	986496	1015738	1037939	1048770	1049504	1035444	1009502	969360	914080	843404	758422	659606	550120	438103	333161	241643	167131	108634	66935	40190	23520	14039	8381	5286	3433	2390	1781	1256	873	698	507	386	291	182	158	121	90	69	167
0	0	0	0	89734	374045	682851	906354	1028429	1084152	1119760	1138118	1147497	1139693	1110432	1062380	999142	924972	841976	745510	638606	527165	422267	331176	252831	186308	133674	88824	55450	31671	16875	8708	4626	2382	1507	867	590	431	311	220	165	99	70	49	27	20	21	13	2	15
0	0	0	0	113903	466923	831330	1082909	1212701	1255965	1256542	1229620	1173471	1104068	1019799	925457	826271	717951	608866	495543	394934	307069	235459	179347	135439	99670	70789	47810	30965	17490	9167	4567	2289	1241	731	450	305	203	164	97	80	52	39	19	15	11	7	6	8	6
0	0	0	0	140498	575138	1008487	1276132	1373156	1352397	1270159	1158904	1039349	917375	799418	675274	552370	439082	337710	253321	188534	139708	103401	76658	55231	39653	27650	19072	12536	7992	4470	2450	1249	648	390	231	180	112	69	60	33	27	12	13	8	3	7	5	3	9
0	0	0	0	165478	660208	1123457	1352135	1360572	1241419	1079141	920639	765079	622388	484233	365514	265404	188648	134751	96748	68355	48697	33418	23266	15677	10543	6949	4591	2912	1782	1060	629	383	274	189	133	78	47	39	27	13	13	15	9	10	4	1	1	2	5
0	0	0	0	169794	652711	1046946	1182343	1106547	936190	754293	576872	420170	296416	206146	144402	101760	72026	50048	34103	21749	13972	8676	5461	3548	2241	1590	989	662	442	353	221	185	106	86	51	30	29	27	12	10	8	5	2	5	3	2	0	1	3
0	0	0	0	146431	536981	816981	857792	734686	552608	383575	257187	171882	118257	83200	59415	42399	28000	17589	10913	6619	4143	2391	1569	1115	739	535	356	261	203	170	129	77	65	52	18	22	12	16	3	7	4	1	0	1	1	3	0	0	0
0	0	0	0	100964	344633	482752	457753	346322	232997	152982	101551	70018	48853	34232	23447	15108	9723	5972	3644	2156	1443	960	629	471	302	236	178	123	113	75	75	31	37	23	16	11	8	1	4	2	0	1	1	0	0	1	0	0	0
0	0	0	0	43672	140431	183106	164771	123510	84353	57419	38919	26496	17801	11996	7974	5281	3311	2083	1249	834	522	372	266	186	142	104	93	63	52	31	22	16	13	6	6	4	1	2	1	0	0	0	0	1	0	0	0	0	0
0	0	0	0	12236	39163	52518	50140	38662	27624	18849	12601	8330	5599	3794	2574	1679	1094	674	467	295	212	157	86	67	43	25	29	13	19	6	6	3	2	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	3212	10077	14314	13536	10615	7659	5057	3467	2423	1758	1270	767	539	323	187	131	87	61	31	15	11	12	5	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	818	2428	3411	3221	2624	2100	1494	1121	836	566	354	219	116	87	37	40	26	13	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	178	609	869	864	805	735	498	389	243	152	94	65	30	36	33	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	33	129	212	239	239	158	117	81	61	56	31	11	6	8	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	4	13	31	40	49	31	25	10	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
